ANO_ENTREGA;COMUNA;DIRECCION;ESTADO;FECHA_ENTR;FECHA_PUBLICACION;INMOBILIARIA;MODALIDAD;N_BANOS;N_DORMITORIOS;MONEDA;REGION;TIPO;PRECIO_DESPLIEGUE;UF;UF_DESDE;UF_HASTA;M2_TOTALES;M2_CONSTRUIDOS;M2_DESDE;M2_HASTA
;VINA DEL MAR;BOSQUES DE MONTEMAR - EDIFICIO VERTICAL;USADA;;16-02-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 14,00;14,00;;;;30;;
;CONCON;BOSQUE DE MONTEMAR;USADA;;05-03-2019;;ARRIENDO;1;;UF;V;OFICINAS;UF 14,00;14,00;;;;29,72;;
;VINA DEL MAR;ETCHEVERS 229;USADA;;07-03-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 14,00;14,00;;;;37;;
;VINA DEL MAR;RENACA NORTE 55 - OFICINA 910;USADA;;22-08-2018;;ARRIENDO;1;1;UF;V;OFICINAS;UF 14,00;14,00;;;;32;;
;CONCON;JUMBO DE BOSQUES DE MONTEMAR;USADA;;06-05-2019;;ARRIENDO;1;;UF;V;OFICINAS;UF 14,00;14,00;;;;29;;
;CONCON;COSTA DE MONTEMAR;USADA;;09-05-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 14,00;14,00;;;;32;;
;CONCON;RENACA NORTE;USADA;;24-04-2019;;ARRIENDO;;;UF;V;OFICINAS;UF 14,00;14,00;;;32;32;;
;VINA DEL MAR;CERCA DEL TERMINAL DE BUSES;USADA;;12-04-2019;;ARRIENDO;1;;UF;V;OFICINAS;UF 14,00;14,00;;;49;49;;
;VINA DEL MAR;AVENIDA VALPARAISO;USADA;;23-05-2019;;ARRIENDO;1;;UF;V;OFICINAS;UF 14,00;14,00;;;49;49;;
;CONCON;AVENIDA BLANCA ESTELA 50;USADA;;02-06-2019;;ARRIENDO;1;2;UF;V;OFICINAS;UF 14,00;14,00;;;;28;;
;VINA DEL MAR;RENACA NORTE 55;USADA;;14-06-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 14,00;14,00;;;;30;;
;VINA DEL MAR;LIMACHE 1700;USADA;;14-06-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 14,00;14,00;;;;25;;
;VINA DEL MAR;AV VALPARAISO;USADA;;13-06-2019;;ARRIENDO;1;;UF;V;OFICINAS;UF 14,00;14,00;;;70;70;;
;CONCON;OFICINA NUEVA 100% HABILITADA AV EDMUNDO ELUCHANS;USADA;;12-06-2019;;ARRIENDO;1;2;UF;V;OFICINAS;UF 14,00;14,00;;;;30;;
;VINA DEL MAR;OFICINA NUEVA 100% HABILITADA AV EDMUNDO ELUCHANS;USADA;;12-06-2019;;ARRIENDO;1;2;UF;V;OFICINAS;UF 14,00;14,00;;;;30;;
